_id,psuedocode,state,district,rural_urban,assembly,parliamentary,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,year_of_establishment,year_of_recognition_pr,year_of_recognition_up,year_of_recognition_sec,year_of_recognition_hsec,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_premises,anganwadi_boys,anganwadi_girls,anganwadi_worker,instr_days_pr,instr_days_up,instr_days_sec,instr_days_hsec,avg_school_hrs_student_pr,avg_school_hrs_student_up,avg_school_hrs_student_sec,avg_school_hrs_student_hsec,avg_school_hrs_teacher_pr,avg_school_hrs_teacher_up,avg_school_hrs_teacher_sec,avg_school_hrs_teacher_hsec,cce_pr,cce_up,cce_sec,cce_hsec
1,9027942,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.32,"","",1,3,1,5,1,700054,1974,1981,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.30,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
2,7262246,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.39,"","",7,1,5,10,1,700007,1968,,1969,1980,,2,1,3,9,2,4,0,0,0,2,0,1,9,2,0,0,0,0,212,212,0,0.00,6.00,6.00,0.00,0.00,6.30,6.30,0.00,9,1,1,9
3,7832940,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.58,"","",1,3,1,5,1,700015,1969,1973,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,236,0,0,0,4.45,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
4,3998237,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.58,"","",1,3,1,5,1,700046,1968,1972,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,3.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1,9,9,9
5,6338243,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.14,"","",1,3,1,5,1,700067,1961,1961,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,1,9,9,9
6,9971718,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.63,"","",6,3,1,10,5,700016,1964,1964,1964,2010,,2,2,3,9,2,19,0,0,0,2,0,1,1,9,0,0,0,200,200,200,0,5.10,6.10,6.10,0.00,5.10,6.10,6.40,0.00,2,2,2,9
7,8579330,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.15,"","",1,3,1,4,1,700004,1967,1967,,,,2,2,3,9,2,2,0,0,0,0,0,1,2,2,0,0,0,239,0,0,0,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,2,9,9,9
8,5240676,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.65,"","",1,3,1,4,1,700017,1974,1974,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.00,0.00,0.00,0.00,5.15,0.00,0.00,0.00,1,9,9,9
9,1812064,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.65,"","",1,3,1,5,1,700019,1935,1972,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,230,0,0,0,5.10,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
10,6474160,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.78,"","",1,3,1,5,3,700023,1981,1981,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4.30,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
