_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
1,9027942,4,1,1,1,5,1,0,0,5,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,161,2,0,0,0,0,0,0,2,2
2,7262246,2,1,1,5,6,0,6,0,0,1,3,3,0,0,0,0,4,0,1,1,1,2,1,1,2,1,2,1,2,2,200,1,0,0,10,0,1,1,1,2
3,7832940,4,1,1,6,6,4,2,0,4,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,1,1,80,2,0,0,0,0,0,0,1,2
4,3998237,3,1,1,1,18,7,17,0,1,1,4,4,5,4,1,1,5,7,1,1,1,2,1,1,2,1,1,1,1,1,365,2,0,0,0,0,0,0,2,2
5,9971718,2,1,1,1,14,0,14,0,0,1,3,3,3,3,0,0,3,3,1,1,1,2,1,1,2,1,2,1,1,2,50,2,0,0,10,1,2,2,2,2
6,5240676,4,1,1,1,2,1,1,0,1,2,1,1,1,1,0,0,2,1,1,1,1,2,1,1,2,1,1,1,1,2,30,2,0,0,0,0,0,0,2,2
7,1812064,3,1,1,7,4,1,0,0,4,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,2,1,1,1,2,31,2,0,0,0,0,0,0,2,2
8,6474160,3,1,1,1,4,4,0,4,0,1,1,1,2,2,0,0,2,2,1,1,1,2,1,1,2,1,2,1,1,2,43,2,0,0,0,0,0,0,2,2
9,6338243,1,1,1,1,12,2,12,0,0,2,2,2,2,2,0,0,3,3,1,1,1,2,1,1,2,1,2,1,1,1,27,2,0,0,0,0,0,0,2,2
10,8579330,2,1,1,5,3,0,3,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,2,1,2,1,2,2,2,2,0,2,0,0,0,0,0,0,2,2
11,6676865,2,1,1,1,12,4,12,0,0,1,2,2,0,0,0,0,2,0,1,1,1,2,1,1,2,1,2,1,1,1,0,2,0,0,0,0,0,0,1,2
12,8849678,4,1,1,5,4,2,4,0,0,2,2,2,2,2,0,0,0,0,1,1,1,2,1,1,2,1,2,1,1,2,30,2,0,0,0,0,0,0,2,2
13,1448567,1,1,1,1,2,0,0,2,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,2,0,0,0,0,0,0,2,2
14,4997329,4,1,1,5,3,2,3,0,0,1,1,1,2,2,1,0,1,1,1,1,1,2,1,1,2,1,2,1,1,1,29,2,0,0,0,0,0,0,2,2
15,7968400,2,1,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,2,1,2,2,1,1,2,2,0,2,0,0,0,0,0,0,2,2
16,8459491,3,1,1,1,10,0,6,0,4,1,2,2,1,1,0,0,2,1,1,1,1,2,1,1,2,1,1,1,1,2,280,1,0,0,10,1,1,1,1,2
17,7601984,3,1,1,1,3,2,3,0,0,1,1,1,2,2,0,0,2,1,1,1,1,2,1,1,2,1,1,2,1,1,17,2,0,0,0,0,0,0,2,2
18,6722555,1,1,1,1,18,8,18,0,0,1,4,4,4,4,4,4,6,3,1,1,1,1,1,1,2,1,2,1,2,2,1915,2,2,0,20,0,1,3,1,2
19,5833190,1,2,2,1,42,6,42,0,0,1,18,18,19,19,1,1,19,20,1,1,1,2,1,1,2,1,1,1,1,1,1299,1,2,0,40,1,2,3,1,2
20,6481045,1,1,1,1,30,3,30,0,0,1,3,3,3,3,1,1,10,0,1,1,1,2,1,1,1,1,2,1,1,2,1200,1,4,0,10,0,2,2,1,2
21,5378858,1,2,2,1,33,4,33,0,0,1,0,0,78,78,0,0,0,0,1,1,1,2,1,1,2,1,1,1,2,2,1450,2,1,0,26,24,1,7,1,2
22,2947027,1,3,3,1,45,25,45,0,0,1,12,12,10,10,0,0,30,18,1,1,1,2,1,1,2,1,2,1,2,2,0,1,20,20,50,0,0,1,1,2
23,2539485,1,2,2,1,70,10,70,0,0,1,13,13,16,16,0,0,13,7,1,1,1,2,1,1,2,1,1,1,2,2,3500,2,4,0,71,94,37,12,1,2
24,1343211,2,1,1,1,13,1,8,2,3,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,0,2,1,0,4,0,1,1,1,2
25,6618230,2,1,1,1,11,3,8,3,0,1,2,2,2,2,0,0,2,2,1,1,1,2,1,1,2,1,2,1,2,2,0,2,1,0,4,0,1,1,1,2
26,5125717,1,1,1,5,5,3,5,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,140,2,1,0,2,0,0,0,2,2
27,8472181,3,1,1,1,30,4,30,0,0,1,3,3,3,3,0,0,3,3,1,1,1,2,1,1,2,1,1,1,2,2,600,2,0,0,7,0,0,1,1,2
28,9907978,1,1,1,1,24,3,24,0,0,1,5,5,5,5,0,0,5,5,1,1,1,2,1,1,2,1,1,1,1,2,1500,2,1,2,20,0,0,1,2,2
29,9192644,1,4,4,1,57,7,57,0,0,1,0,0,42,42,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2,1800,2,16,92,82,25,7,7,1,2
30,5172264,3,1,1,1,3,3,3,0,0,1,1,1,3,3,0,0,1,3,1,1,1,1,1,1,2,1,2,1,1,2,47,2,0,0,3,0,0,0,2,2
31,4860817,4,1,1,5,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,2,2
32,3373093,2,1,1,1,12,6,12,0,0,1,3,3,3,3,3,3,3,3,1,1,1,2,1,1,2,1,1,1,1,1,250,1,4,12,25,1,1,3,1,2
33,5454714,3,1,1,7,9,2,9,0,0,1,4,4,4,4,0,0,4,4,1,1,1,2,1,1,2,1,2,1,1,1,225,2,0,0,0,0,0,0,2,2
34,4705759,3,1,1,1,3,8,3,0,0,2,2,2,1,1,0,0,2,2,1,1,1,2,1,1,2,1,2,2,1,2,54,2,0,0,1,0,0,0,2,2
35,7835619,4,1,1,7,4,4,4,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,2,2,1,2,200,2,0,0,0,0,0,0,2,2
36,4645503,3,1,1,1,5,5,0,0,5,2,2,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,2,2,1,2,44,2,0,0,1,0,0,0,2,2
37,1723647,1,3,3,1,28,7,28,0,0,1,5,5,5,5,0,0,5,4,1,1,1,2,1,1,2,1,2,1,2,2,836,2,5,10,16,9,9,4,1,2
38,4507804,2,1,1,1,18,4,18,0,0,1,9,9,9,9,0,0,9,9,1,1,1,1,1,1,2,1,1,1,1,2,50,2,1,0,9,0,2,1,2,2
39,6827539,1,1,1,1,35,10,35,0,0,1,0,0,3,3,0,0,0,3,1,1,1,2,1,1,2,1,1,1,1,2,1309,2,1,0,20,0,1,3,1,2
40,7050228,3,1,1,5,4,6,4,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,2,2
41,8356787,1,1,1,1,147,101,147,0,0,1,51,51,48,48,0,0,51,48,1,1,1,2,1,1,1,1,1,1,1,1,6000,2,0,0,100,100,2,2,1,2
42,8647550,4,1,1,5,3,2,3,0,0,1,1,1,2,2,0,0,1,1,1,1,1,2,1,1,2,1,2,2,1,1,0,2,0,0,0,0,0,0,2,2
43,4298223,4,1,0,5,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,2,1,1,2,60,2,0,0,0,0,0,0,2,2
44,5968149,2,1,0,1,3,1,2,0,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,3,2,0,0,0,0,0,0,2,2
45,1857644,2,1,0,2,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,2,1,1,2,36,2,0,0,0,0,0,0,2,2
46,1592093,2,1,1,6,3,0,2,1,0,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,2,1,2,2,30,2,0,0,0,0,0,0,2,2
47,8528920,2,1,1,6,2,0,2,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,41,2,0,0,0,0,0,0,1,2
48,9413975,3,2,2,1,6,2,2,2,2,1,1,1,1,1,0,0,1,3,1,1,1,2,1,1,2,1,1,1,1,1,118,2,0,0,0,0,0,0,2,2
49,9781783,2,1,1,5,2,0,2,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,1,2,42,2,0,0,0,0,0,0,2,2
50,1224117,2,1,0,5,4,0,4,0,0,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,2,2,1,2,60,2,0,0,0,0,0,0,2,2
51,8505641,2,2,0,1,2,0,0,0,2,2,2,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,50,2,0,0,0,0,0,0,2,2
52,6738000,2,1,1,5,3,0,3,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,30,2,0,0,0,0,0,0,2,2
53,4710252,1,1,1,1,5,5,5,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,2,0,0,0,0,0,0,2,2
54,1687530,2,1,0,5,4,0,0,4,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,38,2,0,0,0,0,0,0,2,2
55,5838983,2,1,0,5,4,0,4,0,0,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,2,1,2,2,20,2,0,0,0,0,0,0,2,2
56,6919459,2,1,1,5,3,0,2,1,0,2,1,1,1,1,0,0,0,0,2,1,1,2,2,1,2,2,2,1,2,2,8,2,0,0,0,0,0,0,2,2
57,9139229,2,1,0,6,1,0,0,1,0,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,2,1,2,2,56,2,0,0,0,0,0,0,2,2
58,4687886,2,1,1,1,4,0,1,3,0,2,1,1,1,1,0,0,1,1,2,1,1,2,1,1,2,1,2,1,1,2,50,2,0,0,0,0,0,0,1,2
59,9210683,4,1,1,1,4,1,3,1,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,2,2,1,1,2,30,2,0,0,0,0,0,0,1,2
60,3462050,4,5,5,1,6,1,6,0,0,1,3,3,3,3,0,0,3,3,1,1,1,2,1,1,2,1,1,2,1,2,50,2,0,0,0,0,0,0,2,2
61,2331735,2,1,1,1,4,1,2,2,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0,1,2
62,4479906,2,1,1,5,4,2,4,0,0,2,2,2,1,1,0,0,3,1,1,1,1,2,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0,2,2
63,9532095,4,1,1,5,2,0,0,2,0,2,1,1,1,1,0,0,2,2,2,1,1,2,1,1,2,1,2,1,2,2,48,2,0,0,0,0,0,0,2,2
64,9816696,2,1,1,1,5,2,5,0,0,1,2,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,0,2,0,0,0,0,0,0,2,2
65,3530145,1,2,2,1,12,3,6,4,2,1,0,0,10,10,0,0,0,10,1,1,1,2,1,1,2,1,1,2,1,2,222,2,0,0,13,0,0,2,1,2
66,1988944,2,1,1,6,7,3,7,0,0,1,2,2,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,32,2,0,0,1,0,1,1,1,2
67,5030987,1,2,2,1,6,2,3,1,2,2,0,0,2,2,0,0,0,0,1,1,1,2,1,1,2,1,2,1,1,1,50,2,0,0,1,0,0,1,1,2
68,5835787,1,2,2,2,6,3,1,3,2,1,1,1,0,0,0,0,1,0,1,1,1,2,1,1,2,1,2,1,1,1,0,1,0,0,10,0,1,1,1,2
69,3568095,1,4,4,1,9,5,4,3,2,1,0,0,7,7,0,0,0,7,1,1,1,2,1,1,3,1,1,1,1,1,400,1,0,0,0,0,1,1,1,2
70,2829576,1,1,1,1,6,6,6,0,0,1,2,2,0,0,0,0,1,0,1,1,1,2,1,1,2,1,2,1,1,1,75,1,0,0,14,0,2,1,1,2
71,3645782,2,1,1,1,4,4,4,0,0,2,1,1,2,2,0,0,1,2,1,1,1,2,1,1,2,1,1,1,2,2,119,2,0,0,0,0,0,0,2,2
72,3686363,1,1,1,6,17,1,10,3,4,1,6,6,0,0,0,0,6,0,1,1,1,2,1,1,2,1,2,1,1,1,1200,1,0,0,10,0,1,1,1,2
73,1749982,4,2,1,1,5,2,5,0,0,1,2,2,2,2,0,0,0,0,1,1,1,2,1,1,2,1,1,1,1,2,88,2,0,0,0,0,0,0,2,2
74,7946648,2,2,1,6,8,6,2,2,4,1,3,3,3,3,1,0,4,3,1,1,1,2,1,1,2,1,2,1,2,2,508,1,0,0,14,0,1,2,1,2
75,3747842,3,1,1,1,6,5,6,0,0,1,1,1,1,1,1,0,2,2,1,1,1,2,1,1,1,1,2,1,1,1,57,2,0,0,0,0,0,0,2,2
76,6971212,1,1,1,2,10,0,10,0,0,1,5,5,2,2,0,0,5,2,1,1,1,2,1,1,2,1,1,1,1,2,0,2,0,0,0,0,0,0,1,2
77,2990411,4,2,2,8,51,7,45,3,3,1,12,12,12,12,1,1,15,15,1,1,1,2,1,1,2,1,2,1,1,2,1934,1,0,5,93,16,24,8,1,2
78,1935003,2,1,1,5,4,1,4,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,2,2,1,1,2,0,2,0,0,0,0,0,0,2,2
79,8238758,4,1,1,5,4,0,4,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,0,2,0,0,0,0,0,0,2,2
80,4197444,2,1,1,5,1,0,0,0,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,2,2
81,4043120,3,1,1,1,4,2,0,4,0,1,3,3,3,3,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,2,30,2,0,0,0,0,0,0,2,2
